tour_id,tour,opponent,host_country,season,start_date,end_date,matches,formats,innings,runs,hs,avg,strike_rate,fours,sixes,away
v Sri Lanka in India 2020|Sri Lanka,v Sri Lanka in India 2020,Sri Lanka,India,2020,2020-01-07,2020-01-10,2,T20I,2,56,30*,56,164.71,3,3,no
v Australia in India 2020|Australia,v Australia in India 2020,Australia,India,2020,2020-01-14,2020-01-19,3,ODI,3,183,89,61,101.1,14,1,no
India in New Zealand 2020 — v New Zealand|New Zealand,India in New Zealand 2020 — v New Zealand,New Zealand,New Zealand,2020,2020-01-24,2020-02-29,9,Test+ODI+T20I,11,218,51,19.82,79.27,21,3,yes
India in Australia 2020/21 — v Australia|Australia,India in Australia 2020/21 — v Australia,Australia,Australia,2021,2020-11-27,2020-12-17,7,Test+ODI+T20I,8,385,89,48.12,82.26,30,8,yes
v England in India 2021|England,v England in India 2021,England,India,2021,2021-02-05,2021-03-28,12,Test+ODI+T20I,14,532,80*,48.36,78.47,49,10,no
Tournament in England 2021|New Zealand,Tournament in England 2021,New Zealand,England,2021,2021-06-18,2021-06-18,1,Test,2,57,44,28.5,35.4,1,0,yes
India in England 2021 — v England|England,India in England 2021 — v England,England,England,2021,2021-08-04,2021-09-02,4,Test,7,218,55,31.14,46.48,31,0,yes
Tournament in UAE 2021|Pakistan,Tournament in UAE 2021,Pakistan,UAE,2021,2021-10-24,2021-10-24,1,T20I,1,57,57,57,116.33,5,1,yes
Tournament in UAE 2021|New Zealand,Tournament in UAE 2021,New Zealand,UAE,2021,2021-10-31,2021-10-31,1,T20I,1,9,9,9,52.94,0,0,yes
Tournament in UAE 2021|Scotland,Tournament in UAE 2021,Scotland,UAE,2021,2021-11-05,2021-11-05,1,T20I,1,2,2*,-,100,0,0,yes
v New Zealand in India 2021|New Zealand,v New Zealand in India 2021,New Zealand,India,2021,2021-12-03,2021-12-03,1,Test,2,36,36,18,40.91,1,1,no
India in South Africa 2022 — v South Africa|South Africa,India in South Africa 2022 — v South Africa,South Africa,South Africa,2022,2021-12-26,2022-01-23,5,Test+ODI,7,277,79,39.57,44.53,32,1,yes
v West Indies in India 2022|West Indies,v West Indies in India 2022,West Indies,India,2022,2022-02-06,2022-02-18,5,ODI+T20I,5,95,52,19,105.56,13,1,no
v Sri Lanka in India 2022|Sri Lanka,v Sri Lanka in India 2022,Sri Lanka,India,2022,2022-03-04,2022-03-12,2,Test,3,81,45,27,57.86,8,0,no
India in England 2022 — v England|England,India in England 2022 — v England,England,England,2022,2022-07-01,2022-07-17,5,Test+ODI+T20I,6,76,20,12.67,66.09,13,1,yes
Tournament in UAE 2022|Pakistan,Tournament in UAE 2022,Pakistan,UAE,2022,2022-08-28,2022-09-04,2,T20I,2,95,60,47.5,121.79,7,2,yes
Tournament in UAE 2022|Hong Kong,Tournament in UAE 2022,Hong Kong,UAE,2022,2022-08-31,2022-08-31,1,T20I,1,59,59*,-,134.09,1,3,yes
Tournament in UAE 2022|Sri Lanka,Tournament in UAE 2022,Sri Lanka,UAE,2022,2022-09-06,2022-09-06,1,T20I,1,0,0,0,0,0,0,yes
Tournament in UAE 2022|Afghanistan,Tournament in UAE 2022,Afghanistan,UAE,2022,2022-09-08,2022-09-08,1,T20I,1,122,122*,-,200,12,6,yes
v Australia in India 2022|Australia,v Australia in India 2022,Australia,India,2022,2022-09-20,2022-09-25,3,T20I,3,76,63,25.33,124.59,5,4,no
v South Africa in India 2022|South Africa,v South Africa in India 2022,South Africa,India,2022,2022-09-28,2022-10-02,2,T20I,2,52,49*,52,140.54,7,1,no
Tournament in Australia 2023|Pakistan,Tournament in Australia 2023,Pakistan,Australia,2023,2022-10-23,2022-10-23,1,T20I,1,82,82*,-,154.72,6,4,yes
Tournament in Australia 2023|Netherlands,Tournament in Australia 2023,Netherlands,Australia,2023,2022-10-27,2022-10-27,1,T20I,1,62,62*,-,140.91,3,2,yes
Tournament in Australia 2023|South Africa,Tournament in Australia 2023,South Africa,Australia,2023,2022-10-30,2022-10-30,1,T20I,1,12,12,12,109.09,2,0,yes
Tournament in Australia 2023|Bangladesh,Tournament in Australia 2023,Bangladesh,Australia,2023,2022-11-02,2022-11-02,1,T20I,1,64,64*,-,145.45,8,1,yes
Tournament in Australia 2023|Zimbabwe,Tournament in Australia 2023,Zimbabwe,Australia,2023,2022-11-06,2022-11-06,1,T20I,1,26,26,26,104,2,0,yes
Tournament in Australia 2023|England,Tournament in Australia 2023,England,Australia,2023,2022-11-10,2022-11-10,1,T20I,1,50,50,50,125,4,1,yes
